"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Brandon Aubrey",DAL,"vs. PHI","4 out of 5 stars","A","9.0"
"2","Jason Myers",SEA,"at TEN","4 out of 5 stars","B+","8.3"
"3","Jake Bates",DET,"vs. NYG","3 out of 5 stars","B","8.3"
"4","Tyler Loop",BAL,"vs. NYJ","5 out of 5 stars","B","8.1"
"5","Chris Boswell",PIT,"at CHI","3 out of 5 stars","B-","8.0"
"6","Andy Borregales",NE,"at CIN","4 out of 5 stars","C+","7.9"
"7","Cam Little",JAC,"at ARI","5 out of 5 stars","C+","7.8"
"8","Harrison Butker",KC,"vs. IND","2 out of 5 stars","C+","7.7"
"9","Cairo Santos",CHI,"vs. PIT","5 out of 5 stars","C+","7.6"
"10","Matt Prater",BUF,"at HOU","1 out of 5 stars","C","7.5"
"11","Chase McLaughlin",TB,"at LAR","3 out of 5 stars","C","7.4"
"12","Jake Elliott",PHI,"at DAL","4 out of 5 stars","C","7.4"
"13","Harrison Mevis",LAR,"vs. TB","2 out of 5 stars","C","7.4"
"14","Michael Badgley",IND,"at KC","2 out of 5 stars","C","7.3"
"15","Ka'imi Fairbairn",HOU,"vs. BUF","3 out of 5 stars","C-","7.2"
"16","Evan McPherson",CIN,"vs. NE","2 out of 5 stars","C-","7.1"
"17","Chad Ryland",ARI,"vs. JAC","1 out of 5 stars","C-","7.0"
"18","Matt Gay",SF,"vs. CAR","3 out of 5 stars","C-","7.0"
"19","Will Reichard",MIN,"at GB","3 out of 5 stars","C-","7.0"
"20","Daniel Carlson",LV,"vs. CLE","4 out of 5 stars","D+","6.9"
"21","Zane Gonzalez",ATL,"at NO","3 out of 5 stars","D+","6.9"
"22","Blake Grupe",NO,"vs. ATL","4 out of 5 stars","D","6.5"
"23","Ryan Fitzgerald",CAR,"at SF","2 out of 5 stars","D","6.5"
"24","Brandon McManus",GB,"vs. MIN","4 out of 5 stars","D","5.4"
"25","Younghoe Koo",NYG,"at DET","2 out of 5 stars","D","6.3"
"26","Nick Folk",NYJ,"at BAL","5 out of 5 stars","D","6.1"
""
"27","Eddy Pineiro",SF,"vs. CAR","3 out of 5 stars","D-","5.9"
"28","Joey Slye",TEN,"vs. SEA","1 out of 5 stars","D-","4.5"
"29","Andre Szmyt",CLE,"at LV","3 out of 5 stars","D-","0.0"
"30","Matthew Wright",FA,"-","-","F","0.0"
