"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Brandon Aubrey",DAL,"vs. KC","2 out of 5 stars","A","8.6"
"2","Jason Myers",SEA,"vs. MIN","4 out of 5 stars","B+","8.5"
"3","Tyler Loop",BAL,"vs. CIN","5 out of 5 stars","B","8.3"
"4","Cam Little",JAC,"at TEN","4 out of 5 stars","B","8.2"
"5","Cameron Dicker",LAC,"vs. LV","3 out of 5 stars","B-","8.1"
"6","Ka'imi Fairbairn",HOU,"at IND","2 out of 5 stars","B-","8.1"
"7","Jake Bates",DET,"vs. GB","3 out of 5 stars","C+","8.1"
"8","Andy Borregales",NE,"vs. NYG","3 out of 5 stars","C+","8.0"
"9","Chris Boswell",PIT,"vs. BUF","3 out of 5 stars","C+","7.9"
"10","Chase McLaughlin",TB,"vs. ARI","5 out of 5 stars","C+","7.9"
"11","Harrison Butker",KC,"at DAL","4 out of 5 stars","C","7.8"
"12","Evan McPherson",CIN,"at BAL","5 out of 5 stars","C","7.8"
"13","Matt Prater",BUF,"at PIT","5 out of 5 stars","C","7.8"
"14","Wil Lutz",DEN,"at WAS","4 out of 5 stars","C","7.6"
"15","Cairo Santos",CHI,"at PHI","4 out of 5 stars","C","7.5"
"16","Harrison Mevis",LAR,"at CAR","3 out of 5 stars","C","7.3"
"17","Zane Gonzalez",ATL,"at NYJ","5 out of 5 stars","C","7.3"
"18","Brandon McManus",GB,"at DET","2 out of 5 stars","C-","7.1"
"19","Jake Elliott",PHI,"vs. CHI","3 out of 5 stars","C-","7.1"
"20","Michael Badgley",IND,"vs. HOU","1 out of 5 stars","C-","7.0"
"21","Chad Ryland",ARI,"at TB","3 out of 5 stars","D+","7.0"
"22","Matt Gay",SF,"at CLE","4 out of 5 stars","D","7.0"
"23","Will Reichard",MIN,"at SEA","1 out of 5 stars","D+","6.9"
"24","Blake Grupe",NO,"at MIA","4 out of 5 stars","D","6.8"
"25","Younghoe Koo",NYG,"at NE","2 out of 5 stars","D","6.6"
"26","Joey Slye",TEN,"vs. JAC","1 out of 5 stars","D","6.6"
""
"27","Daniel Carlson",LV,"at LAC","3 out of 5 stars","D-","6.6"
"28","Nick Folk",NYJ,"vs. ATL","4 out of 5 stars","D-","6.5"
"29","Riley Patterson",MIA,"vs. NO","3 out of 5 stars","D-","6.3"
"30","Ryan Fitzgerald",CAR,"vs. LAR","3 out of 5 stars","F","6.1"
"31","Andre Szmyt",CLE,"vs. SF","2 out of 5 stars","F","5.9"
"32","Jake Moody",WAS,"vs. DEN","3 out of 5 stars","F","0.0"
