"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Brandon Aubrey",DAL,"vs. MIN","4 out of 5 stars","A+","8.9"
"2","Jason Myers",SEA,"vs. IND","3 out of 5 stars","A-","8.8"
"3","Ka'imi Fairbairn",HOU,"vs. ARI","5 out of 5 stars","B+","8.7"
"4","Tyler Loop",BAL,"at CIN","4 out of 5 stars","B","8.6"
"5","Chase McLaughlin",TB,"vs. ATL","4 out of 5 stars","B","8.4"
"6","Evan McPherson",CIN,"vs. BAL","5 out of 5 stars","C+","8.4"
"7","Cam Little",JAC,"vs. NYJ","5 out of 5 stars","B","8.3"
"8","Cameron Dicker",LAC,"at KC","2 out of 5 stars","C+","8.0"
"9","Harrison Mevis",LAR,"vs. DET","3 out of 5 stars","C+","7.9"
"10","Jake Bates",DET,"at LAR","2 out of 5 stars","C","7.8"
"11","Eddy Pineiro",SF,"vs. TEN","4 out of 5 stars","C","7.8"
"12","Wil Lutz",DEN,"vs. GB","3 out of 5 stars","C+","7.6"
"13","Matt Prater",BUF,"at NE","2 out of 5 stars","C","7.5"
"14","Andy Borregales",NE,"vs. BUF","2 out of 5 stars","C","7.5"
"15","Chris Boswell",PIT,"vs. MIA","4 out of 5 stars","C","7.5"
"16","Cairo Santos",CHI,"vs. CLE","3 out of 5 stars","C-","7.4"
"17","Harrison Butker",KC,"vs. LAC","4 out of 5 stars","C","7.2"
"18","Riley Patterson",MIA,"at PIT","4 out of 5 stars","C-","7.1"
"19","Brandon McManus",GB,"at DEN","3 out of 5 stars","C-","7.1"
"20","Jake Elliott",PHI,"vs. LV","4 out of 5 stars","C-","7.0"
"21","Will Reichard",MIN,"at DAL","5 out of 5 stars","C-","7.0"
"22","Jake Moody",WAS,"at NYG","4 out of 5 stars","D+","7.0"
"23","Nick Folk",NYJ,"at JAC","1 out of 5 stars","D+","7.0"
"24","Zane Gonzalez",ATL,"at TB","3 out of 5 stars","D","6.7"
"25","Ryan Fitzgerald",CAR,"at NO","4 out of 5 stars","D","6.7"
"26","Charlie Smyth",NO,"vs. CAR","3 out of 5 stars","D","6.6"
""
"27","Chad Ryland",ARI,"at HOU","1 out of 5 stars","D-","6.3"
"28","Blake Grupe",IND,"at SEA","1 out of 5 stars","D","6.3"
"29","Matt Gay",FA,"-","-","D-","6.3"
"30","Joey Slye",TEN,"at SF","2 out of 5 stars","D-","6.1"
"31","Andre Szmyt",CLE,"at CHI","2 out of 5 stars","F","6.0"
"32","Younghoe Koo",NYG,"vs. WAS","3 out of 5 stars","F","5.7"
"33","Daniel Carlson",LV,"at PHI","5 out of 5 stars","F","4.6"
