"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Seattle Seahawks",SEA,"at TEN","5 out of 5 stars","A+","9.4"
"2","Cleveland Browns",CLE,"at LV","5 out of 5 stars","A","9.2"
"3","Baltimore Ravens",BAL,"vs. NYJ","4 out of 5 stars","A","8.3"
"4","Green Bay Packers",GB,"vs. MIN","5 out of 5 stars","A","7.9"
"5","Detroit Lions",DET,"vs. NYG","4 out of 5 stars","A-","7.8"
"6","Las Vegas Raiders",LV,"vs. CLE","5 out of 5 stars","B+","7.5"
"7","New England Patriots",NE,"at CIN","4 out of 5 stars","B","6.8"
"8","Atlanta Falcons",ATL,"at NO","5 out of 5 stars","B","6.7"
"9","Buffalo Bills",BUF,"at HOU","2 out of 5 stars","B","6.4"
"10","Los Angeles Rams",LAR,"vs. TB","1 out of 5 stars","B-","6.3"
"11","Pittsburgh Steelers",PIT,"at CHI","2 out of 5 stars","C+","6.2"
"12","Chicago Bears",CHI,"vs. PIT","2 out of 5 stars","C+","6.2"
"13","New Orleans Saints",NO,"vs. ATL","3 out of 5 stars","C","6.2"
"14","Jacksonville Jaguars",JAC,"at ARI","5 out of 5 stars","C","6.1"
"15","Kansas City Chiefs",KC,"vs. IND","1 out of 5 stars","C","5.9"
"16","San Francisco 49ers",SF,"vs. CAR","5 out of 5 stars","C-","5.9"
"17","Philadelphia Eagles",PHI,"at DAL","1 out of 5 stars","C-","5.9"
"18","Houston Texans",HOU,"vs. BUF","2 out of 5 stars","D+","5.9"
"19","Arizona Cardinals",ARI,"vs. JAC","3 out of 5 stars","D+","5.7"
"20","Minnesota Vikings",MIN,"at GB","2 out of 5 stars","D","5.7"
"21","Tampa Bay Buccaneers",TB,"at LAR","1 out of 5 stars","D-","5.6"
"22","Dallas Cowboys",DAL,"vs. PHI","2 out of 5 stars","D-","5.5"
"23","Indianapolis Colts",IND,"at KC","2 out of 5 stars","D-","5.4"
"24","Carolina Panthers",CAR,"at SF","2 out of 5 stars","F","5.4"
"25","Tennessee Titans",TEN,"vs. SEA","2 out of 5 stars","F","5.2"
"26","Cincinnati Bengals",CIN,"vs. NE","3 out of 5 stars","F","5.0"
""
"27","New York Giants",NYG,"at DET","1 out of 5 stars","F","4.9"
"28","New York Jets",NYJ,"at BAL","3 out of 5 stars","F","4.8"
