"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"1","Christian McCaffrey",SF,"RB1","3 out of 5 stars","3 out of 5 stars","+6"
"2","Jaxon Smith-Njigba",SEA,"WR1","3 out of 5 stars","3 out of 5 stars","+31"
"3","Jahmyr Gibbs",DET,"RB2","3 out of 5 stars","2 out of 5 stars","+1"
"4","De'Von Achane",MIA,"RB3","4 out of 5 stars","3 out of 5 stars","+10"
"5","Bijan Robinson",ATL,"RB4","3 out of 5 stars","3 out of 5 stars","-3"
"6","Puka Nacua",LAR,"WR2","3 out of 5 stars","4 out of 5 stars","+6"
"7","Ja'Marr Chase",CIN,"WR3","4 out of 5 stars","4 out of 5 stars","-6"
"8","Amon-Ra St. Brown",DET,"WR4","2 out of 5 stars","2 out of 5 stars","+1"
"9","CeeDee Lamb",DAL,"WR5","3 out of 5 stars","2 out of 5 stars","-4"
"10","James Cook III",BUF,"RB5","2 out of 5 stars","2 out of 5 stars","+18"
"11","Nico Collins",HOU,"WR6","2 out of 5 stars","2 out of 5 stars","+2"
"12","Jonathan Taylor",IND,"RB6","3 out of 5 stars","2 out of 5 stars","+6"
"13","Rashee Rice",KC,"WR7","3 out of 5 stars","2 out of 5 stars","+58"
"14","George Pickens",DAL,"WR8","3 out of 5 stars","2 out of 5 stars","+54"
"15","Josh Jacobs",GB,"RB7","4 out of 5 stars","3 out of 5 stars","+1"
"16","Javonte Williams",DAL,"RB8","3 out of 5 stars","4 out of 5 stars","+91"
"17","Bucky Irving",TB,"RB9","4 out of 5 stars","4 out of 5 stars","+7"
"18","A.J. Brown",PHI,"WR9","4 out of 5 stars","4 out of 5 stars","+3"
"19","Derrick Henry",BAL,"RB10","2 out of 5 stars","3 out of 5 stars","-9"
"20","Chase Brown",CIN,"RB11","4 out of 5 stars","4 out of 5 stars","+2"
"21","Josh Allen",BUF,"QB1","1 out of 5 stars","2 out of 5 stars","-1"
"22","Jaylen Waddle",MIA,"WR10","2 out of 5 stars","2 out of 5 stars","+50"
"23","Travis Etienne Jr.",JAC,"RB12","2 out of 5 stars","3 out of 5 stars","+69"
"24","Trey McBride",ARI,"TE1","3 out of 5 stars","3 out of 5 stars","+3"
"25","Drake Maye",NE,"QB2","4 out of 5 stars","4 out of 5 stars","+98"
