"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Denver Broncos",DEN,"at LV","5 out of 5 stars","A+","12.0"
"2","Cleveland Browns",CLE,"vs. TEN","5 out of 5 stars","A","9.7"
"3","Seattle Seahawks",SEA,"at ATL","3 out of 5 stars","A","9.6"
"4","Los Angeles Rams",LAR,"at ARI","4 out of 5 stars","A-","7.8"
"5","Tampa Bay Buccaneers",TB,"vs. NO","5 out of 5 stars","A-","7.5"
"6","Houston Texans",HOU,"at KC","2 out of 5 stars","B+","7.3"
"7","Baltimore Ravens",BAL,"vs. PIT","3 out of 5 stars","B","7.2"
"8","Miami Dolphins",MIA,"at NYJ","4 out of 5 stars","B","7.0"
"9","Washington Commanders",WAS,"at MIN","5 out of 5 stars","B","6.9"
"10","Philadelphia Eagles",PHI,"at LAC","5 out of 5 stars","B","6.9"
"11","Tennessee Titans",TEN,"at CLE","5 out of 5 stars","B-","6.8"
"12","Green Bay Packers",GB,"vs. CHI","2 out of 5 stars","C+","6.7"
"13","Kansas City Chiefs",KC,"vs. HOU","2 out of 5 stars","B-","6.6"
"14","Pittsburgh Steelers",PIT,"at BAL","3 out of 5 stars","C","6.4"
"15","Indianapolis Colts",IND,"at JAC","3 out of 5 stars","C","6.4"
"16","Jacksonville Jaguars",JAC,"vs. IND","1 out of 5 stars","C","6.3"
"17","Los Angeles Chargers",LAC,"vs. PHI","2 out of 5 stars","C-","6.3"
"18","Minnesota Vikings",MIN,"vs. WAS","3 out of 5 stars","D+","6.3"
"19","Buffalo Bills",BUF,"vs. CIN","4 out of 5 stars","D","6.1"
"20","Atlanta Falcons",ATL,"vs. SEA","2 out of 5 stars","D","5.7"
"21","New York Jets",NYJ,"vs. MIA","4 out of 5 stars","D","5.7"
"22","Detroit Lions",DET,"vs. DAL","1 out of 5 stars","D-","5.6"
"23","Chicago Bears",CHI,"at GB","1 out of 5 stars","F","5.6"
"24","Dallas Cowboys",DAL,"at DET","1 out of 5 stars","F","5.6"
"25","New Orleans Saints",NO,"at TB","2 out of 5 stars","F","5.3"
"26","Arizona Cardinals",ARI,"vs. LAR","1 out of 5 stars","F","5.0"
""
"27","Las Vegas Raiders",LV,"vs. DEN","2 out of 5 stars","F","4.7"
"28","Cincinnati Bengals",CIN,"at BUF","2 out of 5 stars","F","4.4"
