"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Brandon Aubrey",DAL,"vs. LAC","4 out of 5 stars","A+","8.8"
"2","Ka'imi Fairbairn",HOU,"vs. LV","4 out of 5 stars","A-","8.5"
"3","Cameron Dicker",LAC,"at DAL","5 out of 5 stars","B+","8.3"
"4","Jake Bates",DET,"vs. PIT","4 out of 5 stars","B","8.3"
"5","Eddy Pineiro",SF,"at IND","3 out of 5 stars","B-","8.1"
"6","Chase McLaughlin",TB,"at CAR","3 out of 5 stars","C+","8.0"
"7","Jason Myers",SEA,"vs. LAR","2 out of 5 stars","C+","8.0"
"8","Evan McPherson",CIN,"at MIA","3 out of 5 stars","C+","7.9"
"9","Tyler Loop",BAL,"vs. NE","2 out of 5 stars","C+","7.8"
"10","Will Reichard",MIN,"at NYG","4 out of 5 stars","C","7.7"
"11","Zane Gonzalez",ATL,"at ARI","5 out of 5 stars","C","7.6"
"12","Andy Borregales",NE,"at BAL","5 out of 5 stars","C","7.7"
"13","Jake Elliott",PHI,"at WAS","4 out of 5 stars","C","7.6"
"14","Chris Boswell",PIT,"at DET","4 out of 5 stars","C","7.6"
"15","Cam Little",JAC,"at DEN","4 out of 5 stars","C","7.3"
"16","Charlie Smyth",NO,"vs. NYJ","5 out of 5 stars","C","7.3"
"17","Riley Patterson",MIA,"vs. CIN","4 out of 5 stars","C-","7.2"
"18","Wil Lutz",DEN,"vs. JAC","1 out of 5 stars","C-","7.2"
"19","Harrison Mevis",LAR,"at SEA","1 out of 5 stars","C-","7.2"
"20","Cairo Santos",CHI,"vs. GB","3 out of 5 stars","C-","7.2"
"21","Brandon McManus",GB,"at CHI","2 out of 5 stars","D+","7.1"
"22","Michael Badgley",BUF,"at CLE","3 out of 5 stars","D+","7.1"
"23","Harrison Butker",KC,"at TEN","4 out of 5 stars","D+","7.0"
"24","Chad Ryland",ARI,"vs. ATL","4 out of 5 stars","D+","6.8"
"25","Ryan Fitzgerald",CAR,"vs. TB","3 out of 5 stars","D","6.8"
"26","Nick Folk",NYJ,"at NO","4 out of 5 stars","D","6.8"
""
"27","Blake Grupe",IND,"vs. SF","1 out of 5 stars","D","6.6"
"28","Jake Moody",WAS,"vs. PHI","4 out of 5 stars","D","6.6"
"29","Joey Slye",TEN,"vs. KC","3 out of 5 stars","D-","6.4"
"30","Ben Sauls",NYG,"vs. MIN","4 out of 5 stars","D-","6.2"
"31","Andre Szmyt",CLE,"vs. BUF","2 out of 5 stars","F","5.4"
"32","Daniel Carlson",LV,"at HOU","1 out of 5 stars","F","5.3"
"33","Younghoe Koo",FA,"-","-","F","0.0"
