"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Seattle Seahawks",SEA,"vs. MIN","5 out of 5 stars","A+","10.0"
"2","Denver Broncos",DEN,"at WAS","3 out of 5 stars","A","9.2"
"3","Los Angeles Chargers",LAC,"vs. LV","5 out of 5 stars","A-","8.7"
"4","Los Angeles Rams",LAR,"at CAR","5 out of 5 stars","A","8.6"
"5","Jacksonville Jaguars",JAC,"at TEN","5 out of 5 stars","B+","7.8"
"6","New England Patriots",NE,"vs. NYG","3 out of 5 stars","B","7.7"
"7","Atlanta Falcons",ATL,"at NYJ","4 out of 5 stars","B","7.5"
"8","Houston Texans",HOU,"at IND","1 out of 5 stars","B","7.3"
"9","Philadelphia Eagles",PHI,"vs. CHI","2 out of 5 stars","B-","7.2"
"10","Miami Dolphins",MIA,"vs. NO","5 out of 5 stars","B-","7.2"
"11","Baltimore Ravens",BAL,"vs. CIN","4 out of 5 stars","C+","6.6"
"12","San Francisco 49ers",SF,"at CLE","5 out of 5 stars","C+","6.5"
"13","Tampa Bay Buccaneers",TB,"vs. ARI","5 out of 5 stars","C","6.4"
"14","Cleveland Browns",CLE,"vs. SF","2 out of 5 stars","C","6.3"
"15","Detroit Lions",DET,"vs. GB","2 out of 5 stars","C","6.3"
"16","Arizona Cardinals",ARI,"at TB","2 out of 5 stars","C-","6.3"
"17","Buffalo Bills",BUF,"at PIT","2 out of 5 stars","C-","6.3"
"18","Kansas City Chiefs",KC,"at DAL","1 out of 5 stars","D+","6.1"
"19","New Orleans Saints",NO,"at MIA","4 out of 5 stars","D","6.1"
"20","Indianapolis Colts",IND,"vs. HOU","2 out of 5 stars","D","6.1"
"21","Green Bay Packers",GB,"at DET","1 out of 5 stars","D","5.9"
"22","Pittsburgh Steelers",PIT,"vs. BUF","2 out of 5 stars","D-","5.8"
"23","Las Vegas Raiders",LV,"at LAC","5 out of 5 stars","F","5.7"
"24","Minnesota Vikings",MIN,"at SEA","2 out of 5 stars","F","5.7"
"25","Tennessee Titans",TEN,"vs. JAC","3 out of 5 stars","F","5.6"
"26","New York Jets",NYJ,"vs. ATL","4 out of 5 stars","F","5.5"
""
"27","Chicago Bears",CHI,"at PHI","2 out of 5 stars","F","5.5"
"28","Washington Commanders",WAS,"vs. DEN","2 out of 5 stars","F","5.4"
"29","Dallas Cowboys",DAL,"vs. KC","2 out of 5 stars","F","5.2"
"30","New York Giants",NYG,"at NE","3 out of 5 stars","F","4.9"
"31","Carolina Panthers",CAR,"vs. LAR","1 out of 5 stars","F","4.4"
"32","Cincinnati Bengals",CIN,"at BAL","3 out of 5 stars","F","3.7"
